customer_id,age,account_tenure_months,monthly_active_days,avg_daily_usage_minutes,num_sessions_per_week,support_tickets_30d,payment_delay_days,subscription_type,has_active_promo,app_rating,num_notification_opt_out,customer_support_satisfaction,monthly_charges,churn_target,avg_active_days_3m,usage_minutes_3m,support_tickets_3m,avg_active_days_6m,usage_minutes_6m,support_tickets_6m,avg_active_days_12m,usage_minutes_12m,support_tickets_12m,engagement_score,satisfaction_score,usage_trend_3m_6m,subscription_type_enc,has_active_promo_enc
12,33,35,15,38.71123300917076,7,1,0,Premium,No,4,4,4,18.14685476779936,0,15.699453528297136,45.309949528597166,3,14.60545605995039,24.953714931650495,6,15.805345711083158,28.027188311616857,12,0.429,0.8,0.7843,1.0,0
13,45,70,22,64.88934642043498,10,0,0,VIP,No,4,0,5,55.02042422963599,0,24.117863662398836,61.72753273378912,0,17.880107718650766,43.5382014033066,0,25.757390180042357,41.043477545063475,0,0.6525,0.9,0.4084,,0
14,18,19,22,53.7899595380652,11,1,3,Basic,Yes,1,0,5,10.94701820738716,0,24.95207301878735,63.2252085246605,3,22.10376012640969,58.99904670155552,6,26.749575305222855,66.61201024469221,12,0.6298,0.6,0.0704,0.0,1
15,18,5,25,81.77106516702563,12,1,1,VIP,No,3,2,5,44.36175588420315,0,25.55537429420807,92.76315570080952,3,25.0,81.77106516702563,0,25.0,81.77106516702563,0,0.7773,0.8,0.1328,,0
16,31,7,20,54.36802030786886,10,0,28,Basic,No,2,1,2,9.36238978331494,1,19.113613442258384,64.68548650498859,0,24.88809095213363,47.244786253192814,0,20.0,54.36802030786886,0,0.5908,0.4,0.3615,0.0,0
17,24,6,22,59.513659515848595,8,1,25,Premium,Yes,3,4,5,21.581970324227264,1,24.078034614009177,59.25679814413257,3,20.19618579575557,56.123735600556834,6,22.0,59.513659515848595,0,0.606,0.8,0.0548,1.0,1
18,44,56,28,82.56079220579684,13,1,1,Basic,Yes,5,3,5,11.195960424953832,0,26.770717031515492,100.79984611036636,3,28.658218896908668,77.77697920290255,6,26.89730066388997,72.43438344759358,12,0.8343,1.0,0.2923,0.0,1
19,28,4,19,52.73042006140057,10,0,2,VIP,Yes,5,0,5,51.56828316283844,0,15.8087709419373,60.6754015062469,0,19.0,52.73042006140057,0,19.0,52.73042006140057,0,0.572,1.0,0.1479,,1
20,18,7,21,55.047559222292094,9,6,3,Basic,No,4,4,5,11.375321370084889,1,22.878023024885344,47.81278860228464,18,21.822325299204863,61.30819256107763,36,21.0,55.047559222292094,3,0.5921,0.9,-0.2166,0.0,0
21,60,4,26,82.18924057465783,11,0,8,Basic,Yes,2,2,4,11.043178534622186,0,28.647823703626987,75.6869945171454,0,26.0,82.18924057465783,0,26.0,82.18924057465783,0,0.7778,0.6,-0.0782,0.0,1
22,35,21,18,61.204879325356686,8,0,0,VIP,Yes,4,2,4,49.73579933145592,0,16.356376703852533,74.24837415471393,0,15.260377070266038,81.29476901352064,0,17.44537405813336,88.68095328255804,0,0.5583,0.8,-0.0856,,1
23,41,3,16,46.52733549824357,6,0,1,Basic,Yes,5,0,3,9.463575411157947,1,19.921646326998,53.216279499597185,0,16.0,46.52733549824357,0,16.0,46.52733549824357,0,0.4541,0.8,0.1407,0.0,1
24,18,43,24,72.87524878451649,10,9,16,Premium,Yes,5,2,5,18.476769782362524,0,25.166104637671744,65.66294677960806,27,25.175471247877866,46.47648931712443,54,23.86526211463421,44.985270830128165,108,0.7058,1.0,0.4041,1.0,1
25,30,20,28,82.72482006092356,13,0,0,Premium,No,4,4,5,22.550788159766984,0,28.867923955929783,79.14958616697653,0,25.660167180727633,77.8844022199885,0,30.0,65.35250316570512,0,0.8348,0.9,0.016,1.0,0
26,40,20,20,64.52222729557057,8,0,2,Basic,No,2,0,5,9.752561449205205,0,18.96662780239813,63.88373825361477,0,16.106252152717346,54.13202604424889,0,24.451586126823464,81.32715766666507,0,0.596,0.7,0.1769,0.0,0
27,21,88,2,5.0,1,0,2,Premium,Yes,3,3,4,18.874578655526086,0,4.034577536487125,13.2030522584245,0,4.552262183063748,0.7864188766138547,0,1.0896403973056188,12.0337503549417,0,0.0576,0.7,6.9506,1.0,1
28,44,11,20,50.225587706772174,10,0,0,Premium,No,5,2,2,17.561081701880266,0,16.95124374571443,47.995539817437354,0,19.390598517080267,38.226362693028264,0,20.0,50.225587706772174,0,0.5769,0.7,0.249,1.0,0
29,30,12,20,60.33575822941013,8,0,3,Basic,Yes,3,0,4,7.311244825177017,0,19.32041910884659,73.48322103168135,0,18.108494339566473,100.38034862087422,0,22.89054278120117,38.42285129178581,0,0.5821,0.7,-0.2653,0.0,1
30,32,26,18,22.130234209215963,8,2,2,VIP,No,4,2,3,49.64451896633373,0,16.533673528075553,25.74958029209791,6,17.784724474634082,0.0,12,18.244494647381217,25.695080053822466,24,0.4281,0.7,25.7496,,0
31,29,9,22,60.602798901082835,10,0,2,Basic,No,4,5,2,9.470080608017334,0,19.382134499705224,74.23398053083555,0,19.666901687070776,65.55032396814273,0,22.0,60.602798901082835,0,0.6382,0.6,0.1305,0.0,0
32,67,51,19,42.97050049876484,8,0,3,Basic,No,1,1,1,10.483036438746751,0,20.72597491063131,31.50524718071309,0,15.87024612053045,43.45562359106535,0,22.00836252883988,26.344376252314664,0,0.5109,0.2,-0.2688,0.0,0
33,41,23,20,71.71017546628792,11,9,17,Premium,Yes,4,0,5,19.89620419930212,0,20.6822769531818,86.71262979663616,27,22.422983185496587,87.23006073334825,54,17.616535098224972,65.834624801212,108,0.6628,0.9,-0.0059,1.0,1
34,24,1,14,35.735951826838914,6,0,0,Basic,Yes,5,0,3,12.88081801815226,1,4.666666666666666,11.911983942279637,0,14.0,35.735951826838914,0,14.0,35.735951826838914,0,0.3915,0.8,-0.6485,0.0,1
35,52,11,4,5.0,1,0,18,VIP,No,5,1,5,48.545174679282965,1,3.4433999821529606,5.750065036980844,0,4.240020074371725,7.470178123825537,0,4.0,5.0,0,0.0843,1.0,-0.2031,,0
36,21,20,22,85.37305443326343,8,0,2,Premium,No,4,0,2,19.264607563240332,0,23.97015910394617,80.12210171969735,0,20.726920865667093,99.48066427602588,0,19.24411270975229,67.01413162154418,0,0.6922,0.6,-0.1927,1.0,0
37,40,47,14,39.49656789556002,6,2,3,Premium,No,4,0,5,13.777216337193478,0,14.154283512630393,52.51996246100692,6,16.196590525176838,25.74789883810806,12,14.95014952937234,17.95550706726228,24,0.404,0.9,1.0009,1.0,0
38,18,40,23,69.30720027420384,10,0,0,VIP,No,3,2,5,52.798293222174976,0,22.055707332055103,64.7224501778526,0,22.63182890111975,68.10930776768674,0,21.978344662140007,53.71951816213305,0,0.6805,0.8,-0.049,,0
39,21,33,24,66.89198438203644,13,3,0,Basic,No,4,3,4,10.203802273690536,0,22.722222468871255,66.83868867097006,9,26.55102036504369,57.86068687384356,18,25.744892157273785,77.19507983392651,36,0.7287,0.8,0.1525,0.0,0
40,43,53,22,64.16428090306016,9,0,1,VIP,Yes,5,1,3,53.81545379309928,0,18.03419246675026,69.21699266976557,0,20.742314456190112,68.39518961465656,0,19.644011961863804,77.11076231504285,0,0.6358,0.8,0.0118,,1
41,56,8,18,63.100171398488925,8,0,0,Premium,No,5,1,5,16.630019062925623,0,20.32874260683387,51.74434146903168,0,16.302749390951536,72.8101008624413,0,18.0,63.100171398488925,0,0.5646,1.0,-0.2854,1.0,0
42,40,16,21,47.8632720471908,10,0,0,Basic,No,4,3,2,8.334937554904094,0,23.101810337869516,46.03608812347855,0,18.968480120230023,37.19087063669555,0,20.709945470687096,24.306460575029956,0,0.5824,0.6,0.2316,0.0,0
43,36,21,27,83.25174991404762,12,1,0,Basic,No,5,0,4,12.01868309900123,1,30.0,74.03548783709938,3,28.13832710379478,123.88645536784944,6,25.83499143516129,86.41837237477357,12,0.8089,0.9,-0.3992,0.0,0
44,36,108,18,50.63447092837391,6,0,1,Premium,Yes,4,3,2,20.17370407667114,0,17.33076059068577,35.07208791999211,0,19.955713121941784,78.49665011655776,0,19.217105096313144,64.728832246938,0,0.4945,0.6,-0.5462,1.0,1
45,18,115,19,47.66321773764683,8,0,1,Premium,No,5,1,1,15.902073418650415,0,17.666412795449745,68.5035056837157,0,17.92650125734773,64.73848129286225,0,19.07186571726236,35.14966339710684,0,0.5265,0.6,0.0573,1.0,0
46,28,20,25,68.10105859047228,12,1,1,Basic,No,5,3,5,10.25231336528183,0,21.597129554818196,61.55063649330724,3,25.356670805304063,76.34116820597328,6,27.694816542757327,80.28402703556831,12,0.7318,1.0,-0.1912,0.0,0
47,33,6,24,70.78370415696023,11,1,1,Premium,No,5,1,4,22.712806717895845,0,25.919932687598145,77.02274386222037,3,23.41350199147771,71.02912895515442,6,24.0,70.78370415696023,0,0.7131,0.9,0.0832,1.0,0
48,54,67,23,73.83254169495348,11,0,1,Premium,Yes,3,6,4,21.24957500858426,0,24.45965286909132,94.77666998052123,0,25.417306184061324,68.87682612242052,0,19.80043380959288,76.62066972763147,0,0.7099,0.7,0.3706,1.0,1
49,48,3,24,52.890332411580445,11,0,2,VIP,Yes,5,1,4,52.19358185326667,0,27.103559838596873,46.55705756353796,0,24.0,52.890332411580445,0,24.0,52.890332411580445,0,0.6534,0.9,-0.1175,,1
50,18,15,16,59.23131214311664,7,0,7,VIP,No,5,3,2,56.05102635064004,0,14.166715961156187,46.628518739214385,0,16.579704923286705,73.72782641481277,0,17.284869218059775,75.3641021462168,0,0.5108,0.7,-0.3626,,0
51,41,23,14,45.81898887103099,6,0,7,Basic,No,5,1,4,8.593083133469408,1,15.432731128930351,63.43947971045823,0,16.36440084380235,86.51055940705899,0,14.430388474832112,17.039301277173976,0,0.4251,0.9,-0.2636,0.0,0
52,32,7,20,60.66269936056773,8,1,2,Premium,Yes,5,0,3,22.7235763898005,0,18.95591884730936,51.3471261801196,3,19.76265636446081,94.25508776236084,6,20.0,60.66269936056773,0,0.5832,0.8,-0.4505,1.0,1
53,28,14,23,67.0136973356722,11,1,5,Premium,Yes,5,2,5,21.245676046845276,0,25.687432387895033,62.90515357269771,3,21.814280280147276,68.41537082571854,6,24.42975796697208,67.80172310295006,12,0.6872,1.0,-0.0794,1.0,1
54,48,33,25,68.44205433625643,10,1,0,Basic,Yes,1,1,2,10.065842098290677,0,26.072430242984566,62.740541835834335,3,24.485870512341563,55.71173502728343,6,26.546738628902947,61.49157295353716,12,0.7043,0.3,0.1239,0.0,1
55,54,35,29,87.2268090989046,12,1,2,Premium,No,5,3,5,20.79424279393971,0,25.888611937985058,88.77458170063497,3,28.92271150210949,80.04196519131992,6,27.62111457554511,112.15244744446548,12,0.8489,1.0,0.1078,1.0,0
56,53,45,1,5.0,1,0,0,Basic,Yes,4,1,4,10.343168097597143,0,0.737605920644112,0.0,0,1.8508783570530245,10.327231592240024,0,0.0,0.0,0,0.0443,0.8,-0.9117,0.0,1
57,27,26,27,69.18820083042775,12,1,27,Basic,Yes,2,3,5,10.23982892773412,0,23.103771595247174,75.40971214748731,3,27.22948249833476,67.74127303546872,6,24.393682202764257,67.95159072521699,12,0.7621,0.7,0.1116,0.0,1
58,33,8,21,64.6592934026476,7,0,0,VIP,No,5,2,4,58.8249274780019,0,18.673436575463462,69.31169791381865,0,22.888357871839982,75.1562963760898,0,21.0,64.6592934026476,0,0.5955,0.9,-0.0767,,0
59,42,1,28,90.32839969421914,12,2,2,Basic,No,4,0,5,8.18426941824027,0,9.333333333333332,30.109466564739712,0,28.0,90.32839969421914,0,28.0,90.32839969421914,0,0.8459,0.9,-0.6594,0.0,0
60,57,30,25,74.41474140306875,9,0,24,Basic,No,5,1,2,8.35271484740858,0,23.71811710147145,82.86431620903058,0,22.31207431226091,56.60455354410472,0,26.877619821442433,96.54362164495312,0,0.71,0.7,0.4559,0.0,0
61,32,25,23,87.14384278706295,11,0,0,Premium,No,3,1,2,16.934168354421708,0,22.474628431990713,91.6828283094488,0,22.22127511109139,75.84794004065712,0,19.925083741493623,94.2825999144137,0,0.7543,0.5,0.2061,1.0,0
62,37,30,25,74.20062887472125,10,0,21,Basic,Yes,2,0,4,8.45432590817125,0,25.32916619015215,71.1438358280019,0,26.931901530239625,86.19044275072785,0,23.934733795868382,102.42030630250642,0,0.7235,0.6,-0.1726,0.0,1
63,20,80,26,81.28105198831665,11,0,1,Basic,Yes,4,4,4,8.392409719592434,0,26.22909140158865,81.86719916219482,0,28.553478376720456,99.93534046381752,0,25.008337142873053,109.49039604959428,0,0.7747,0.8,-0.179,0.0,1
64,22,10,11,15.96267766537422,4,1,0,Premium,Yes,5,2,5,20.8920245666062,1,10.952280341199646,9.445364684142092,3,12.9082243095525,20.53033399003909,6,11.0,15.96267766537422,0,0.257,1.0,-0.5149,1.0,1
65,53,36,27,81.27848046121565,12,1,1,Basic,No,3,3,4,11.144805753420464,0,27.664770856096187,83.21513179511149,3,30.0,86.27382172390676,6,27.771490703352026,69.58177307290637,12,0.8024,0.7,-0.035,0.0,0
66,61,3,19,57.81565510148954,9,1,1,Basic,No,4,3,5,11.111660713771055,1,16.500410717318243,49.914195045863536,3,19.0,57.81565510148954,0,19.0,57.81565510148954,0,0.5746,0.9,-0.1343,0.0,0
67,39,48,8,13.816811291960883,3,0,0,Basic,No,3,3,4,8.679857477427582,1,8.146357429009635,15.18675260958048,0,10.890951484035442,28.69436412773483,0,10.334523654062576,0.0,0,0.1956,0.7,-0.4549,0.0,0
68,53,5,27,74.20058673548746,13,1,0,Basic,No,5,1,5,10.930064016119942,0,29.868918053036698,69.79902208675921,3,27.0,74.20058673548746,0,27.0,74.20058673548746,0,0.793,1.0,-0.0585,0.0,0
69,43,9,22,66.2087843805542,11,0,0,Basic,Yes,4,2,4,8.179459137910674,0,21.66839434627217,58.03326163801205,0,21.917953265420863,52.21224738806852,0,22.0,66.2087843805542,0,0.6712,0.8,0.1094,0.0,1
70,32,11,2,20.43053037513921,1,0,0,Basic,Yes,4,2,5,12.83425821478487,1,2.9893455311329324,30.932968065132528,0,0.0,0.0,0,2.0,20.43053037513921,0,0.1091,0.9,30.933,0.0,1
71,46,52,5,15.251660264693156,3,0,0,Basic,Yes,4,4,4,13.327111308706517,0,5.803249423386691,23.18317559176249,0,4.457662819595953,30.950667033368937,0,7.511841899148098,1.986160165277532,0,0.1604,0.8,-0.2431,0.0,1
72,63,24,18,69.91993130638689,7,0,1,Premium,No,4,0,5,19.166704477719968,0,19.724536861205166,70.48900891034278,0,17.90677365146827,62.98422293857106,0,13.116968128368464,98.70192677150176,0,0.5731,0.9,0.1173,1.0,0
73,40,12,24,62.02205483850037,12,0,1,VIP,No,3,2,5,52.1831812031595,1,24.57427779947476,44.59353629781496,0,21.49357639803647,98.12987503122991,0,24.60848982423616,62.35080465545553,0,0.6982,0.8,-0.5401,,0
74,61,8,24,76.4318021645146,10,2,1,Basic,Yes,3,1,4,11.048650196261784,0,25.69073045739866,67.641998056306,6,23.78484898264485,89.39491160214254,12,24.0,76.4318021645146,1,0.7176,0.7,-0.2406,0.0,1
75,18,12,20,54.868597003328965,9,1,29,Premium,No,5,3,4,18.146999433449633,1,21.014582758354887,54.099260900279056,3,19.827489301605095,65.8254018203586,6,20.703287413880897,43.92668338742388,12,0.5781,0.9,-0.1755,1.0,0
76,49,35,21,65.42484908831993,9,1,1,VIP,No,5,1,5,50.94684890413875,0,22.314570017388167,70.15463234365517,3,21.579942068626945,62.09200540350787,6,19.025106549873833,72.68135085313025,12,0.6267,1.0,0.1278,,0
77,41,55,25,65.48053676835696,11,1,26,Basic,Yes,4,1,2,10.797337246545018,0,25.884255284556744,70.37625680817357,3,23.047743294514493,74.96796516450652,6,27.207434819931045,43.66374188850765,12,0.7087,0.6,-0.0604,0.0,1
78,35,1,23,77.29556466644212,10,0,3,VIP,Yes,5,2,1,57.79739551656194,0,7.666666666666666,25.765188222147373,0,23.0,77.29556466644212,0,23.0,77.29556466644212,0,0.7072,0.6,-0.6582,,1
79,40,2,21,68.77881138671636,9,0,3,Premium,No,5,3,5,18.00400455294946,1,14.0,45.852540924477566,0,21.0,68.77881138671636,0,21.0,68.77881138671636,0,0.6378,1.0,-0.3286,1.0,0
80,18,23,13,25.144704861376727,5,0,0,Premium,Yes,4,3,5,22.972923828737155,0,12.293545082991477,22.990797133103907,0,12.927544834131796,33.95774666570526,0,12.66216753026009,17.696125883953144,0,0.3286,0.9,-0.3137,1.0,1
81,40,54,23,72.60490952248736,10,1,2,VIP,Yes,5,2,4,41.73785148127114,0,26.1032810563527,66.3215828870985,3,20.385849120671327,73.93177578081942,6,21.785680783665725,71.51144637295022,12,0.6915,0.9,-0.1016,,1
82,45,1,23,72.02803776126285,11,0,0,Premium,No,2,1,1,19.18508361458142,0,7.666666666666666,24.009345920420948,0,23.0,72.02803776126285,0,23.0,72.02803776126285,0,0.7039,0.3,-0.6575,1.0,0
83,64,27,17,43.376504923635025,7,3,2,Basic,Yes,5,0,2,9.133895060444289,0,17.619118969517327,53.70151813798598,9,17.55282532598614,47.81310177526528,18,19.342119562521383,67.5261047159178,36,0.4713,0.7,0.1206,0.0,1
84,32,48,20,74.03093465056794,10,0,4,Basic,Yes,5,1,3,11.06239627720135,0,16.06538735495481,79.85816935931149,0,18.902482410489657,89.96016323301662,0,21.480036799669147,107.71304794524676,0,0.6563,0.8,-0.1111,0.0,1
85,26,9,22,65.69565483265362,10,0,0,VIP,No,5,1,5,60.93898783297068,0,22.387483801336213,54.35291387463613,0,21.693674350536256,44.209137857717565,0,22.0,65.69565483265362,0,0.6552,1.0,0.2244,,0
86,34,16,18,47.73825948060018,7,1,0,VIP,No,1,1,2,52.5400157404993,0,18.17181603683326,35.91198132574082,3,18.044715152578544,58.586257754949834,6,21.920843591603965,40.23353614292896,12,0.4991,0.3,-0.3805,,0
87,54,8,28,96.7005940417302,13,0,2,Basic,No,2,0,1,9.04227638981379,0,22.65336208434719,96.37873980095006,0,29.706958042721823,102.97445767781952,0,28.0,96.7005940417302,0,0.8814,0.3,-0.0634,0.0,0
88,44,1,27,69.65351002375661,11,0,27,Premium,No,4,1,4,19.0168329162247,1,9.0,23.217836674585534,0,27.0,69.65351002375661,0,27.0,69.65351002375661,0,0.7493,0.8,-0.6572,1.0,0
89,34,21,16,43.29291455800679,9,0,0,VIP,Yes,2,0,4,54.92893943002468,0,12.698038886689536,31.898691413061123,0,15.40875491038082,39.779483854315245,0,16.501628417828126,80.21027015547418,0,0.4862,0.6,-0.1933,,1
90,52,32,22,63.49846044302467,11,8,0,Basic,No,5,3,5,12.50573143772748,0,20.549301670175847,64.54149928640145,24,22.59903534021733,46.43225202432947,48,21.36159156582099,47.957701793382704,96,0.6621,1.0,0.3818,0.0,0
91,40,80,19,44.46624228667903,8,0,0,VIP,Yes,5,1,1,50.013866452091214,0,20.988944026549888,25.629600381027252,0,20.012449359784128,36.88619229255284,0,21.128561620592624,56.66862377254412,0,0.5158,0.6,-0.2971,,1
92,54,8,17,37.36780773752446,9,1,1,Basic,No,5,3,4,10.37426600602398,1,17.314903053675465,36.45498703373385,3,15.257619134923692,25.07875470782144,6,17.0,37.36780773752446,0,0.4798,0.9,0.4362,0.0,0
93,29,14,23,69.50672991813884,10,0,18,Basic,No,5,2,5,8.818386132711343,0,22.103099818060475,74.60160298616329,0,21.3621584232894,66.96974504675723,0,19.080472551300993,69.4095761904319,0,0.6812,1.0,0.1123,0.0,0
94,34,30,25,71.26859678097078,13,0,0,Basic,Yes,3,3,4,10.706195548363192,0,23.931849601305593,76.03908432758413,0,25.188396733823176,89.02006188841969,0,23.778950765990636,67.12655282130544,0,0.7566,0.7,-0.1442,0.0,1
95,33,88,18,134.24632777972806,8,5,0,Premium,No,5,4,2,16.78946933983429,0,17.16401553273366,116.19277927457908,15,20.07628941055809,127.0759815526078,30,15.439868430145808,156.32230246798446,60,0.7543,0.7,-0.085,1.0,0
96,21,5,14,28.32420627802439,6,2,0,Basic,Yes,5,5,5,9.211244485909765,1,14.321777908981598,9.798613885823425,6,14.0,28.32420627802439,1,14.0,28.32420627802439,0,0.3668,1.0,-0.6318,0.0,1
97,41,5,21,110.4985929309674,11,0,1,VIP,No,5,2,3,55.16693921759732,0,18.59871428520828,108.37255568370074,0,21.0,110.4985929309674,0,21.0,110.4985929309674,0,0.8055,0.8,-0.0191,,0
98,44,55,27,91.07554826284309,13,0,4,Basic,Yes,4,1,3,10.914285990285762,0,29.248834936293328,84.7638522128472,0,28.94743758208213,76.95508673706145,0,26.07501392283033,89.40789680178484,0,0.8493,0.7,0.1002,0.0,1
99,39,5,21,120.22584262308058,8,0,0,Basic,Yes,5,3,4,10.123062376067589,1,18.704872642244904,108.05440654301198,0,21.0,120.22584262308058,0,21.0,120.22584262308058,0,0.7943,0.9,-0.1004,0.0,1
100,39,20,18,58.666664974586126,8,0,0,Premium,No,5,1,5,20.38614781915086,0,14.545884934320762,37.14299797836092,0,15.68605832564836,43.678242163449966,0,19.220928243602906,52.11632545964831,0,0.5498,1.0,-0.1463,1.0,0
101,18,46,18,46.75440749926112,8,1,1,Basic,Yes,1,2,5,8.847653647375541,1,19.98230626389414,37.9324732774116,3,20.208568222911673,52.50974248320022,6,18.764925150882775,53.28395240869095,12,0.5101,0.6,-0.2724,0.0,1
102,33,17,21,48.73251439751337,9,0,1,Basic,Yes,3,1,5,9.432924312280443,0,20.126157351881066,47.71375595289278,0,23.04066133070085,57.18498539256192,0,20.68131296574959,76.3253623599151,0,0.571,0.8,-0.1628,0.0,1
103,37,27,21,64.66970267939755,12,0,1,Basic,No,3,2,2,11.851225346578364,0,21.140919181318203,62.30798381937955,0,21.967099942683145,47.03745961758004,0,23.065810988181365,21.729681597411545,0,0.667,0.5,0.3179,0.0,0
104,28,50,21,61.79594070197862,9,1,3,Basic,No,5,1,2,11.195501874240508,0,22.309262034019003,49.76328138199384,3,20.50636050967586,40.911399924911535,6,19.891944607987647,120.18631151333152,12,0.6146,0.7,0.2112,0.0,0
105,38,20,9,31.96329832694881,4,0,0,Basic,No,5,3,2,8.961990120505241,1,7.561126104210895,21.935195894477083,0,8.807627698563609,21.24481970846616,0,11.59210888164744,13.58669048321648,0,0.2837,0.7,0.031,0.0,0
106,47,6,25,77.99122189181827,13,3,0,VIP,Yes,4,4,4,58.37375140944986,0,25.274291504706824,74.58049595351899,9,25.377193179590503,89.07821622239378,18,25.0,77.99122189181827,1,0.779,0.8,-0.1609,,1
107,66,1,14,37.87394029439247,7,0,1,Basic,No,2,0,3,9.192772376275862,1,4.666666666666666,12.62464676479749,0,14.0,37.87394029439247,0,14.0,37.87394029439247,0,0.4129,0.5,-0.6495,0.0,0
108,43,120,23,66.97845921463183,9,1,0,VIP,No,3,3,5,51.430419003767035,0,26.28646977174995,70.20219079567224,3,21.300481612152115,66.34247062289828,6,21.892496852186305,53.02137589033917,12,0.6585,0.8,0.0573,,0
109,43,52,22,66.15753991590003,11,0,2,Basic,No,5,1,5,10.850386901102912,0,20.977882215002413,71.75035774053633,0,20.164841505555195,70.37799997754051,0,22.10157692108745,47.57385011187574,0,0.671,1.0,0.0192,0.0,0
110,38,9,21,69.5603437900486,9,0,2,VIP,No,1,0,3,53.41998602950501,0,20.074105599282333,74.09400029801253,0,23.3758553638516,63.33249546326596,0,21.0,69.5603437900486,0,0.6404,0.4,0.1673,,0
111,18,9,21,55.265537170632136,8,0,0,Basic,No,4,0,1,11.951739098515503,1,22.126653238650658,44.3278231581723,0,21.963932777580712,46.319985670752835,0,21.0,55.265537170632136,0,0.5785,0.5,-0.0421,0.0,0
112,37,5,14,38.955547939246095,6,1,3,Basic,Yes,4,2,5,11.052877788444258,1,14.417185928117677,42.2916310239223,3,14.0,38.955547939246095,0,14.0,38.955547939246095,0,0.4022,0.9,0.0835,0.0,1
113,41,49,24,66.5410407603852,12,0,1,Premium,Yes,5,2,1,23.671807296334165,0,23.72592848101034,70.13253610405364,0,24.013556582880867,68.70612668677057,0,22.470513825378127,43.446757817290795,0,0.7132,0.6,0.0205,1.0,1
114,70,22,21,51.75781880234333,9,1,2,Premium,No,5,0,2,23.020161663190216,0,24.185379965017173,66.62002829942088,3,22.47170620345365,56.82086143445684,6,23.716881190791035,44.525267662332666,12,0.5811,0.7,0.1695,1.0,0
115,35,35,21,60.31387050969854,9,0,19,Premium,Yes,4,0,1,17.8534417554194,0,17.635125461376845,80.05780082728779,0,21.070315345366907,87.87863381389424,0,20.187618888386258,82.22129003910881,0,0.6096,0.5,-0.088,1.0,1
116,44,28,20,60.51582514870767,10,1,1,Premium,Yes,1,0,5,17.44074750799521,0,17.156509099084275,72.91750112035311,3,17.364098663373216,49.38295864534598,6,18.234462571619275,57.96471757750746,12,0.6112,0.6,0.4671,1.0,1
